Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799996
FILLER_16_76,VPWR,li1,42.3200,57.1200,1.799996
FILLER_16_70,VPWR,li1,38.4100,57.1200,1.799996
FILLER_16_63,VPWR,li1,35.1900,57.1200,1.799996
FILLER_16_57,VPWR,li1,32.2000,57.1200,1.799996
FILLER_16_48,VPWR,li1,29.4400,57.1200,1.799997
FILLER_16_42,VPWR,li1,25.5300,57.1200,1.799997
FILLER_16_37,VPWR,li1,22.7700,57.1200,1.799998
FILLER_16_29,VPWR,li1,20.7000,57.1200,1.799998
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799998
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799998
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799998
FILLER_15_93,VPWR,li1,49.2200,51.6800,1.799999
FILLER_15_81,VPWR,li1,45.5400,51.6800,1.799999
FILLER_15_69,VPWR,li1,40.0200,51.6800,1.799999
FILLER_15_57,VPWR,li1,34.5000,51.6800,1.799999
FILLER_15_55,VPWR,li1,31.0500,51.6800,1.799999
FILLER_15_51,VPWR,li1,29.9000,51.6800,1.799999
FILLER_15_39,VPWR,li1,26.2200,51.6800,1.799999
FILLER_15_27,VPWR,li1,20.7000,51.6800,1.800000
FILLER_15_15,VPWR,li1,15.1800,51.6800,1.800000
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.800000
FILLER_14_85,VPWR,li1,47.3800,51.6800,1.799999
FILLER_14_81,VPWR,li1,43.4700,51.6800,1.799999
FILLER_14_73,VPWR,li1,40.9400,51.6800,1.799999
FILLER_14_65,VPWR,li1,36.3400,51.6800,1.799999
FILLER_14_53,VPWR,li1,32.6600,51.6800,1.799999
FILLER_14_41,VPWR,li1,27.1400,51.6800,1.799999
FILLER_14_29,VPWR,li1,21.6200,51.6800,1.800000
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.800000
