Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_225,VPWR,li1,109.7100,116.9600,1.799988
FILLER_38_221,VPWR,li1,107.8700,116.9600,1.799988
FILLER_38_209,VPWR,li1,104.4200,116.9600,1.799988
FILLER_38_197,VPWR,li1,98.9000,116.9600,1.799988
FILLER_38_193,VPWR,li1,94.9900,116.9600,1.799988
FILLER_38_181,VPWR,li1,91.5400,116.9600,1.799988
FILLER_38_169,VPWR,li1,86.0200,116.9600,1.799988
FILLER_38_166,VPWR,li1,82.3400,116.9600,1.799988
FILLER_38_154,VPWR,li1,79.1200,116.9600,1.799988
FILLER_38_149,VPWR,li1,74.2900,116.9600,1.799988
FILLER_38_141,VPWR,li1,72.2200,116.9600,1.799988
FILLER_38_133,VPWR,li1,67.3900,116.9600,1.799988
FILLER_38_125,VPWR,li1,64.8600,116.9600,1.799989
FILLER_38_113,VPWR,li1,60.2600,116.9600,1.799989
FILLER_38_111,VPWR,li1,56.8100,116.9600,1.799990
FILLER_38_105,VPWR,li1,55.2000,116.9600,1.799990
FILLER_38_98,VPWR,li1,51.2900,116.9600,1.799990
FILLER_38_93,VPWR,li1,48.5300,116.9600,1.799991
FILLER_38_85,VPWR,li1,46.4600,116.9600,1.799991
FILLER_38_82,VPWR,li1,43.7000,116.9600,1.799992
FILLER_38_70,VPWR,li1,40.4800,116.9600,1.799992
FILLER_38_65,VPWR,li1,35.6500,116.9600,1.799994
FILLER_38_57,VPWR,li1,33.5800,116.9600,1.799994
FILLER_38_53,VPWR,li1,30.5900,116.9600,1.799995
FILLER_38_41,VPWR,li1,27.1400,116.9600,1.799996
FILLER_38_29,VPWR,li1,21.6200,116.9600,1.799997
FILLER_38_27,VPWR,li1,18.1700,116.9600,1.799997
FILLER_38_15,VPWR,li1,15.1800,116.9600,1.799997
FILLER_38_3,VPWR,li1,9.6600,116.9600,1.799997
FILLER_37_225,VPWR,li1,109.7100,111.5200,1.799983
FILLER_37_213,VPWR,li1,104.1900,111.5200,1.799983
FILLER_37_205,VPWR,li1,101.6600,111.5200,1.799984
FILLER_37_193,VPWR,li1,97.0600,111.5200,1.799985
FILLER_37_181,VPWR,li1,91.5400,111.5200,1.799985
FILLER_37_169,VPWR,li1,86.0200,111.5200,1.799986
FILLER_37_167,VPWR,li1,82.5700,111.5200,1.799987
FILLER_37_161,VPWR,li1,80.9600,111.5200,1.799987
FILLER_37_149,VPWR,li1,76.8200,111.5200,1.799988
FILLER_37_137,VPWR,li1,71.3000,111.5200,1.799989
FILLER_37_125,VPWR,li1,65.7800,111.5200,1.799990
FILLER_37_113,VPWR,li1,60.2600,111.5200,1.799991
FILLER_37_111,VPWR,li1,56.8100,111.5200,1.799992
FILLER_37_105,VPWR,li1,55.2000,111.5200,1.799992
FILLER_37_93,VPWR,li1,51.0600,111.5200,1.799992
FILLER_37_81,VPWR,li1,45.5400,111.5200,1.799994
FILLER_37_69,VPWR,li1,40.0200,111.5200,1.799994
FILLER_37_57,VPWR,li1,34.5000,111.5200,1.799995
FILLER_37_55,VPWR,li1,31.0500,111.5200,1.799996
FILLER_37_51,VPWR,li1,29.9000,111.5200,1.799996
FILLER_37_39,VPWR,li1,26.2200,111.5200,1.799997
FILLER_37_27,VPWR,li1,20.7000,111.5200,1.799998
FILLER_37_15,VPWR,li1,15.1800,111.5200,1.799998
FILLER_37_3,VPWR,li1,9.6600,111.5200,1.799998
FILLER_36_227,VPWR,li1,110.1700,111.5200,1.799983
FILLER_36_221,VPWR,li1,108.5600,111.5200,1.799983
FILLER_36_197,VPWR,li1,97.9800,111.5200,1.799984
FILLER_36_195,VPWR,li1,95.4500,111.5200,1.799985
FILLER_36_189,VPWR,li1,93.8400,111.5200,1.799985
FILLER_36_177,VPWR,li1,89.7000,111.5200,1.799986
FILLER_36_165,VPWR,li1,84.1800,111.5200,1.799987
FILLER_36_153,VPWR,li1,78.6600,111.5200,1.799988
FILLER_36_141,VPWR,li1,73.1400,111.5200,1.799989
FILLER_36_139,VPWR,li1,69.6900,111.5200,1.799989
FILLER_36_133,VPWR,li1,68.0800,111.5200,1.799989
FILLER_36_121,VPWR,li1,63.9400,111.5200,1.799990
FILLER_36_109,VPWR,li1,58.4200,111.5200,1.799991
FILLER_36_97,VPWR,li1,52.9000,111.5200,1.799992
FILLER_36_85,VPWR,li1,47.3800,111.5200,1.799993
FILLER_36_83,VPWR,li1,43.9300,111.5200,1.799994
FILLER_36_77,VPWR,li1,42.3200,111.5200,1.799994
FILLER_36_65,VPWR,li1,38.1800,111.5200,1.799995
FILLER_36_53,VPWR,li1,32.6600,111.5200,1.799996
FILLER_36_41,VPWR,li1,27.1400,111.5200,1.799997
FILLER_36_27,VPWR,li1,18.1700,111.5200,1.799998
FILLER_36_15,VPWR,li1,15.1800,111.5200,1.799998
FILLER_36_3,VPWR,li1,9.6600,111.5200,1.799998
FILLER_35_225,VPWR,li1,109.7100,106.0800,1.799840
FILLER_35_197,VPWR,li1,96.3700,106.0800,1.799843
FILLER_35_181,VPWR,li1,90.6200,106.0800,1.799846
FILLER_35_169,VPWR,li1,86.0200,106.0800,1.799850
FILLER_35_156,VPWR,li1,80.0400,106.0800,1.799856
FILLER_35_130,VPWR,li1,66.0100,106.0800,1.799873
FILLER_35_104,VPWR,li1,53.8200,106.0800,1.799895
FILLER_35_81,VPWR,li1,44.1600,106.0800,1.799918
FILLER_35_69,VPWR,li1,40.0200,106.0800,1.799926
FILLER_35_57,VPWR,li1,34.5000,106.0800,1.799938
FILLER_35_44,VPWR,li1,28.5200,106.0800,1.799953
FILLER_35_27,VPWR,li1,18.6300,106.0800,1.799969
FILLER_35_6,VPWR,li1,11.0400,106.0800,1.799968
FILLER_34_225,VPWR,li1,109.7100,106.0800,1.799840
FILLER_34_197,VPWR,li1,96.8300,106.0800,1.799843
FILLER_34_195,VPWR,li1,95.4500,106.0800,1.799843
FILLER_34_170,VPWR,li1,83.9500,106.0800,1.799853
FILLER_34_158,VPWR,li1,80.9600,106.0800,1.799856
FILLER_34_118,VPWR,li1,61.1800,106.0800,1.799882
FILLER_34_96,VPWR,li1,51.0600,106.0800,1.799901
FILLER_34_85,VPWR,li1,45.0800,106.0800,1.799918
FILLER_34_82,VPWR,li1,43.7000,106.0800,1.799918
FILLER_34_74,VPWR,li1,41.4000,106.0800,1.799926
FILLER_34_62,VPWR,li1,36.8000,106.0800,1.799933
FILLER_34_42,VPWR,li1,25.5300,106.0800,1.799963
FILLER_34_27,VPWR,li1,18.1700,106.0800,1.799969
FILLER_34_3,VPWR,li1,8.7400,106.0800,1.799968
FILLER_33_225,VPWR,li1,109.7100,100.6400,1.799804
FILLER_33_221,VPWR,li1,107.8700,100.6400,1.799804
FILLER_33_200,VPWR,li1,97.7500,100.6400,1.799806
FILLER_33_169,VPWR,li1,83.7200,100.6400,1.799818
FILLER_33_152,VPWR,li1,77.2800,100.6400,1.799825
FILLER_33_126,VPWR,li1,63.7100,100.6400,1.799844
FILLER_33_122,VPWR,li1,62.5600,100.6400,1.799847
FILLER_33_73,VPWR,li1,39.5600,100.6400,1.799898
FILLER_33_65,VPWR,li1,37.2600,100.6400,1.799905
FILLER_33_55,VPWR,li1,31.0500,100.6400,1.799924
FILLER_33_36,VPWR,li1,22.7700,100.6400,1.799958
FILLER_33_3,VPWR,li1,8.7400,100.6400,1.799955
FILLER_32_219,VPWR,li1,106.4900,100.6400,1.799804
FILLER_32_195,VPWR,li1,95.4500,100.6400,1.799808
FILLER_32_176,VPWR,li1,86.7100,100.6400,1.799816
FILLER_32_170,VPWR,li1,85.1000,100.6400,1.799816
FILLER_32_151,VPWR,li1,75.2100,100.6400,1.799828
FILLER_32_147,VPWR,li1,74.0600,100.6400,1.799830
FILLER_32_136,VPWR,li1,69.0000,100.6400,1.799837
FILLER_32_130,VPWR,li1,65.5500,100.6400,1.799841
FILLER_32_126,VPWR,li1,64.4000,100.6400,1.799844
FILLER_32_101,VPWR,li1,52.2100,100.6400,1.799868
FILLER_32_63,VPWR,li1,35.4200,100.6400,1.799910
FILLER_32_29,VPWR,li1,19.3200,100.6400,1.799957
FILLER_32_15,VPWR,li1,13.8000,100.6400,1.799955
FILLER_32_3,VPWR,li1,9.6600,100.6400,1.799955
FILLER_31_225,VPWR,li1,109.7100,95.2000,1.799841
FILLER_31_219,VPWR,li1,106.4900,95.2000,1.799842
FILLER_31_164,VPWR,li1,81.8800,95.2000,1.799858
FILLER_31_125,VPWR,li1,64.8600,95.2000,1.799882
FILLER_31_113,VPWR,li1,60.2600,95.2000,1.799889
FILLER_31_111,VPWR,li1,56.8100,95.2000,1.799897
FILLER_31_107,VPWR,li1,55.6600,95.2000,1.799897
FILLER_31_87,VPWR,li1,46.4600,95.2000,1.799913
FILLER_31_53,VPWR,li1,30.5900,95.2000,1.799946
FILLER_31_40,VPWR,li1,24.8400,95.2000,1.799960
FILLER_31_28,VPWR,li1,19.3200,95.2000,1.799968
FILLER_31_7,VPWR,li1,11.5000,95.2000,1.799965
FILLER_30_221,VPWR,li1,107.8700,95.2000,1.799842
FILLER_30_195,VPWR,li1,95.4500,95.2000,1.799846
FILLER_30_164,VPWR,li1,82.3400,95.2000,1.799858
FILLER_30_147,VPWR,li1,73.3700,95.2000,1.799868
FILLER_30_124,VPWR,li1,62.7900,95.2000,1.799885
FILLER_30_118,VPWR,li1,61.1800,95.2000,1.799889
FILLER_30_108,VPWR,li1,55.6600,95.2000,1.799897
FILLER_30_93,VPWR,li1,48.7600,95.2000,1.799909
FILLER_30_85,VPWR,li1,46.4600,95.2000,1.799913
FILLER_30_54,VPWR,li1,30.8200,95.2000,1.799946
FILLER_30_3,VPWR,li1,7.5900,95.2000,1.799965
FILLER_29_225,VPWR,li1,109.7100,89.7600,1.799810
FILLER_29_222,VPWR,li1,108.1000,89.7600,1.799810
FILLER_29_205,VPWR,li1,100.0500,89.7600,1.799811
FILLER_29_186,VPWR,li1,91.7700,89.7600,1.799815
FILLER_29_169,VPWR,li1,83.4900,89.7600,1.799821
FILLER_29_137,VPWR,li1,69.4600,89.7600,1.799836
FILLER_29_122,VPWR,li1,62.1000,89.7600,1.799848
FILLER_29_91,VPWR,li1,47.6100,89.7600,1.799880
FILLER_29_83,VPWR,li1,45.5400,89.7600,1.799887
FILLER_29_57,VPWR,li1,32.4300,89.7600,1.799923
FILLER_29_54,VPWR,li1,30.8200,89.7600,1.799923
FILLER_29_28,VPWR,li1,18.6300,89.7600,1.799949
FILLER_29_21,VPWR,li1,15.4100,89.7600,1.799948
FILLER_29_3,VPWR,li1,7.3600,89.7600,1.799946
FILLER_28_227,VPWR,li1,110.1700,89.7600,1.799810
FILLER_28_211,VPWR,li1,102.8100,89.7600,1.799810
FILLER_28_195,VPWR,li1,95.4500,89.7600,1.799814
FILLER_28_191,VPWR,li1,94.3000,89.7600,1.799814
FILLER_28_176,VPWR,li1,87.8600,89.7600,1.799817
FILLER_28_158,VPWR,li1,78.4300,89.7600,1.799825
FILLER_28_152,VPWR,li1,76.8200,89.7600,1.799827
FILLER_28_138,VPWR,li1,69.4600,89.7600,1.799836
FILLER_28_96,VPWR,li1,49.9100,89.7600,1.799874
FILLER_28_85,VPWR,li1,45.0800,89.7600,1.799887
FILLER_28_75,VPWR,li1,40.2500,89.7600,1.799898
FILLER_28_64,VPWR,li1,35.6500,89.7600,1.799910
FILLER_28_25,VPWR,li1,17.7100,89.7600,1.799949
FILLER_28_15,VPWR,li1,12.8800,89.7600,1.799948
FILLER_28_7,VPWR,li1,10.5800,89.7600,1.799947
FILLER_27_225,VPWR,li1,109.7100,84.3200,1.799531
FILLER_27_223,VPWR,li1,108.3300,84.3200,1.799532
FILLER_27_219,VPWR,li1,107.1800,84.3200,1.799532
FILLER_27_209,VPWR,li1,101.8900,84.3200,1.799534
FILLER_27_177,VPWR,li1,87.4000,84.3200,1.799551
FILLER_27_165,VPWR,li1,82.1100,84.3200,1.799561
FILLER_27_155,VPWR,li1,77.0500,84.3200,1.799573
FILLER_27_149,VPWR,li1,75.4400,84.3200,1.799580
FILLER_27_113,VPWR,li1,57.7300,84.3200,1.799654
FILLER_27_93,VPWR,li1,48.9900,84.3200,1.799700
FILLER_27_19,VPWR,li1,14.9500,84.3200,1.799894
FILLER_27_7,VPWR,li1,9.4300,84.3200,1.799892
FILLER_26_223,VPWR,li1,108.3300,84.3200,1.799532
FILLER_26_206,VPWR,li1,100.5100,84.3200,1.799534
FILLER_26_193,VPWR,li1,94.9900,84.3200,1.799537
FILLER_26_175,VPWR,li1,86.4800,84.3200,1.799551
FILLER_26_149,VPWR,li1,74.2900,84.3200,1.799580
FILLER_26_118,VPWR,li1,60.2600,84.3200,1.799641
FILLER_26_102,VPWR,li1,52.9000,84.3200,1.799678
FILLER_26_66,VPWR,li1,36.3400,84.3200,1.799784
FILLER_26_53,VPWR,li1,30.8200,84.3200,1.799838
FILLER_25_225,VPWR,li1,109.7100,78.8800,1.799577
FILLER_25_223,VPWR,li1,108.3300,78.8800,1.799577
FILLER_25_204,VPWR,li1,100.0500,78.8800,1.799578
FILLER_25_166,VPWR,li1,82.3400,78.8800,1.799604
FILLER_25_158,VPWR,li1,80.0400,78.8800,1.799609
FILLER_25_123,VPWR,li1,62.5600,78.8800,1.799664
FILLER_25_113,VPWR,li1,57.9600,78.8800,1.799687
FILLER_25_101,VPWR,li1,52.4400,78.8800,1.799708
FILLER_25_73,VPWR,li1,39.3300,78.8800,1.799786
FILLER_25_45,VPWR,li1,26.9100,78.8800,1.799871
FILLER_25_27,VPWR,li1,18.4000,78.8800,1.799909
FILLER_24_227,VPWR,li1,110.1700,78.8800,1.799577
FILLER_24_206,VPWR,li1,100.9700,78.8800,1.799578
FILLER_24_193,VPWR,li1,94.9900,78.8800,1.799582
FILLER_24_184,VPWR,li1,90.3900,78.8800,1.799589
FILLER_24_176,VPWR,li1,88.3200,78.8800,1.799593
FILLER_24_166,VPWR,li1,82.5700,78.8800,1.799604
FILLER_24_138,VPWR,li1,69.4600,78.8800,1.799637
FILLER_24_96,VPWR,li1,49.9100,78.8800,1.799722
FILLER_24_81,VPWR,li1,43.4700,78.8800,1.799768
FILLER_24_40,VPWR,li1,24.1500,78.8800,1.799890
FILLER_24_26,VPWR,li1,17.9400,78.8800,1.799909
FILLER_24_18,VPWR,li1,15.6400,78.8800,1.799908
FILLER_24_3,VPWR,li1,8.2800,78.8800,1.799906
FILLER_23_225,VPWR,li1,109.7100,73.4400,1.799808
FILLER_23_217,VPWR,li1,106.0300,73.4400,1.799808
FILLER_23_204,VPWR,li1,100.2800,73.4400,1.799810
FILLER_23_164,VPWR,li1,81.8800,73.4400,1.799825
FILLER_23_154,VPWR,li1,76.5900,73.4400,1.799831
FILLER_23_146,VPWR,li1,74.5200,73.4400,1.799837
FILLER_23_92,VPWR,li1,48.7600,73.4400,1.799885
FILLER_23_84,VPWR,li1,45.0800,73.4400,1.799894
FILLER_23_57,VPWR,li1,33.1200,73.4400,1.799927
FILLER_23_55,VPWR,li1,31.0500,73.4400,1.799934
FILLER_23_36,VPWR,li1,22.3100,73.4400,1.799963
FILLER_23_28,VPWR,li1,20.2400,73.4400,1.799962
FILLER_23_19,VPWR,li1,14.4900,73.4400,1.799961
FILLER_23_15,VPWR,li1,13.3400,73.4400,1.799961
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799961
FILLER_22_188,VPWR,li1,93.8400,73.4400,1.799814
FILLER_22_145,VPWR,li1,72.9100,73.4400,1.799837
FILLER_22_130,VPWR,li1,65.7800,73.4400,1.799849
FILLER_22_122,VPWR,li1,63.4800,73.4400,1.799853
FILLER_22_114,VPWR,li1,58.1900,73.4400,1.799864
FILLER_22_106,VPWR,li1,56.1200,73.4400,1.799868
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799899
FILLER_22_56,VPWR,li1,31.7400,73.4400,1.799934
FILLER_22_29,VPWR,li1,19.3200,73.4400,1.799962
FILLER_22_22,VPWR,li1,17.0200,73.4400,1.799962
FILLER_22_7,VPWR,li1,10.1200,73.4400,1.799961
FILLER_21_225,VPWR,li1,109.7100,68.0000,1.799785
FILLER_21_169,VPWR,li1,84.1800,68.0000,1.799798
FILLER_21_164,VPWR,li1,81.8800,68.0000,1.799801
FILLER_21_147,VPWR,li1,73.3700,68.0000,1.799814
FILLER_21_126,VPWR,li1,64.1700,68.0000,1.799827
FILLER_21_117,VPWR,li1,59.5700,68.0000,1.799839
FILLER_21_113,VPWR,li1,58.4200,68.0000,1.799839
FILLER_21_109,VPWR,li1,56.3500,68.0000,1.799844
FILLER_21_74,VPWR,li1,39.7900,68.0000,1.799890
FILLER_21_57,VPWR,li1,31.9700,68.0000,1.799917
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799917
FILLER_21_3,VPWR,li1,7.5900,68.0000,1.799953
FILLER_20_218,VPWR,li1,106.2600,68.0000,1.799785
FILLER_20_197,VPWR,li1,97.0600,68.0000,1.799789
FILLER_20_172,VPWR,li1,85.3300,68.0000,1.799798
FILLER_20_154,VPWR,li1,76.5900,68.0000,1.799809
FILLER_20_150,VPWR,li1,75.4400,68.0000,1.799809
FILLER_20_123,VPWR,li1,62.3300,68.0000,1.799832
FILLER_20_101,VPWR,li1,53.3600,68.0000,1.799851
FILLER_20_81,VPWR,li1,43.4700,68.0000,1.799877
FILLER_20_71,VPWR,li1,39.1000,68.0000,1.799890
FILLER_20_60,VPWR,li1,33.5800,68.0000,1.799908
FILLER_20_37,VPWR,li1,23.2300,68.0000,1.799946
FILLER_20_22,VPWR,li1,17.0200,68.0000,1.799954
FILLER_20_3,VPWR,li1,7.5900,68.0000,1.799953
FILLER_19_225,VPWR,li1,109.7100,62.5600,1.799708
FILLER_19_191,VPWR,li1,94.3000,62.5600,1.799713
FILLER_19_169,VPWR,li1,84.1800,62.5600,1.799720
FILLER_19_166,VPWR,li1,82.3400,62.5600,1.799722
FILLER_19_157,VPWR,li1,77.9700,62.5600,1.799728
FILLER_19_153,VPWR,li1,76.8200,62.5600,1.799728
FILLER_19_113,VPWR,li1,58.8800,62.5600,1.799764
FILLER_19_93,VPWR,li1,48.7600,62.5600,1.799805
FILLER_19_82,VPWR,li1,43.7000,62.5600,1.799832
FILLER_19_74,VPWR,li1,41.4000,62.5600,1.799842
FILLER_19_57,VPWR,li1,33.1200,62.5600,1.799887
FILLER_19_52,VPWR,li1,30.3600,62.5600,1.799899
FILLER_19_36,VPWR,li1,23.9200,62.5600,1.799932
FILLER_19_30,VPWR,li1,19.5500,62.5600,1.799943
FILLER_19_22,VPWR,li1,17.4800,62.5600,1.799942
FILLER_19_11,VPWR,li1,11.0400,62.5600,1.799941
FILLER_18_197,VPWR,li1,96.3700,62.5600,1.799712
FILLER_18_195,VPWR,li1,95.4500,62.5600,1.799713
FILLER_18_191,VPWR,li1,94.3000,62.5600,1.799713
FILLER_18_160,VPWR,li1,80.5000,62.5600,1.799724
FILLER_18_141,VPWR,li1,70.8400,62.5600,1.799737
FILLER_18_137,VPWR,li1,69.2300,62.5600,1.799737
FILLER_18_100,VPWR,li1,53.3600,62.5600,1.799783
FILLER_18_81,VPWR,li1,43.4700,62.5600,1.799832
FILLER_18_63,VPWR,li1,35.4200,62.5600,1.799872
FILLER_18_7,VPWR,li1,10.1200,62.5600,1.799941
FILLER_17_225,VPWR,li1,109.7100,57.1200,1.799794
FILLER_17_223,VPWR,li1,108.3300,57.1200,1.799794
FILLER_17_204,VPWR,li1,100.0500,57.1200,1.799796
FILLER_17_193,VPWR,li1,94.7600,57.1200,1.799800
FILLER_17_144,VPWR,li1,71.9900,57.1200,1.799827
FILLER_17_111,VPWR,li1,56.8100,57.1200,1.799855
FILLER_17_87,VPWR,li1,45.7700,57.1200,1.799885
FILLER_17_83,VPWR,li1,44.6200,57.1200,1.799885
FILLER_17_57,VPWR,li1,32.2000,57.1200,1.799921
FILLER_17_3,VPWR,li1,7.5900,57.1200,1.799953
FILLER_16_226,VPWR,li1,109.9400,57.1200,1.799794
FILLER_16_186,VPWR,li1,91.3100,57.1200,1.799804
FILLER_16_182,VPWR,li1,90.1600,57.1200,1.799804
FILLER_16_170,VPWR,li1,86.4800,57.1200,1.799807
FILLER_16_138,VPWR,li1,69.4600,57.1200,1.799830
FILLER_16_116,VPWR,li1,59.8000,57.1200,1.799851
FILLER_16_78,VPWR,li1,42.7800,57.1200,1.799891
FILLER_16_48,VPWR,li1,27.8300,57.1200,1.799936
FILLER_16_29,VPWR,li1,19.5500,57.1200,1.799956
FILLER_16_22,VPWR,li1,17.0200,57.1200,1.799955
FILLER_16_3,VPWR,li1,7.5900,57.1200,1.799953
FILLER_15_225,VPWR,li1,109.7100,51.6800,1.799835
FILLER_15_222,VPWR,li1,108.1000,51.6800,1.799835
FILLER_15_177,VPWR,li1,87.8600,51.6800,1.799842
FILLER_15_147,VPWR,li1,74.0600,51.6800,1.799856
FILLER_15_113,VPWR,li1,57.7300,51.6800,1.799882
FILLER_15_108,VPWR,li1,56.1200,51.6800,1.799882
FILLER_15_61,VPWR,li1,33.8100,51.6800,1.799934
